timestamp,shift,operator,logged_tag,status_label,raw_flow_gpm,meter_factor_used,suction_psig,discharge_psig,differential_psig,motor_hz,tach_rpm,motor_amp,bearing_de_c,bearing_nde_c,seal_gland_c,ambient_c,noise_dba,operator_note
2026-06-18 00:00,N,Ng,CW-P-241B,OK,1412,1.0,18.2,83.5,65.3,59.4,1768,142.0,62.0,58.0,48.0,24,86,Raw meter display used.
2026-06-18 01:00,N,Patel,CW-P-241B,OK,1415,1.0,18.4,83.9,65.5,59.5,1769,143.8,62.4,58.5,48.7,24,87,Raw meter display used.
2026-06-18 02:00,N,Morgan,CW-P-241B,OK,1418,1.0,18.6,84.3,65.7,59.6,1770,145.6,62.8,59.0,49.4,24,88,Raw meter display used.
2026-06-18 03:00,N,Ibrahim,CW-P-241B,OK,1421,1.0,18.8,84.7,65.9,59.7,1771,147.4,63.2,59.5,50.1,24,89,Raw meter display used.
2026-06-18 04:00,N,Ng,CW-P-241B,OK,1424,1.0,19.0,85.1,66.1,59.4,1772,149.2,63.6,60.0,50.8,24,86,Raw meter display used.
2026-06-18 05:00,N,Patel,CW-P-241B,OK,1427,1.0,18.2,85.5,67.3,59.5,1773,151.0,64.0,60.5,48.0,24,87,Raw meter display used.
2026-06-18 06:00,N,Morgan,CW-P-241B,OK,1430,1.0,18.4,83.5,65.1,59.6,1768,152.8,64.4,61.0,48.7,24,88,Raw meter display used.
2026-06-18 07:00,N,Ibrahim,CW-P-241B,OK,1412,1.0,18.6,83.9,65.3,59.7,1769,154.6,64.8,58.0,49.4,24,89,Raw meter display used.
2026-06-18 08:00,D,Ng,CW-P-241B,OK,1421,1.0,18.8,84.3,65.5,59.4,1770,142.0,65.2,58.5,50.1,24,86,Raw meter display used.
2026-06-18 09:00,D,Patel,CW-P-241B,OK,1424,1.0,19.0,84.7,65.7,59.5,1771,143.8,62.0,59.0,50.8,24,87,Raw meter display used.
2026-06-18 10:00,D,Morgan,CW-P-241B,OK,1427,1.0,18.2,85.1,66.9,59.6,1772,145.6,62.4,59.5,48.0,24,88,Raw meter display used.
2026-06-18 11:00,D,Ibrahim,CW-P-241B,OK,1424,1.0,18.4,85.5,67.1,59.7,1773,147.4,62.8,60.0,48.7,24,89,Raw meter display used.
2026-06-18 12:00,D,Ng,CW-P-241B,OK,1427,0.973,18.6,83.5,64.9,59.4,1768,149.2,63.2,60.5,49.4,24,86,Corrected with calibration factor 0.973.
2026-06-18 13:00,D,Patel,CW-P-241B,OK,1430,0.973,18.8,83.9,65.1,59.5,1769,151.0,63.6,61.0,50.1,24,87,Corrected with calibration factor 0.973.
2026-06-18 14:00,D,Morgan,CW-P-241B,OK - monitor,1412,0.973,19.0,84.3,65.3,59.6,1770,152.8,64.0,58.0,50.8,24,90,Corrected with calibration factor 0.973. Noise reading above 88 dBA at pump end walkway.
2026-06-18 15:00,D,Ibrahim,CW-P-241B,OK - monitor,1415,0.973,18.2,84.7,66.5,59.7,1771,154.6,64.4,58.5,48.0,24,91,Corrected with calibration factor 0.973. Noise reading above 88 dBA at pump end walkway.
2026-06-18 16:00,E,Ng,CW-P-241B,OK - monitor,1418,0.973,18.4,85.1,66.7,59.4,1772,142.0,64.8,59.0,48.7,24,88,Corrected with calibration factor 0.973. Noise reading above 88 dBA at pump end walkway.
2026-06-18 17:00,E,Patel,CW-P-241B,OK - monitor,1421,0.973,18.6,85.5,66.9,59.5,1773,143.8,65.2,59.5,49.4,24,89,Corrected with calibration factor 0.973. Noise reading above 88 dBA at pump end walkway.
2026-06-18 18:00,E,Morgan,CW-P-241B,OK,1424,0.973,18.8,83.5,64.7,59.6,1768,145.6,62.0,60.0,50.1,24,88,Corrected with calibration factor 0.973.
2026-06-18 19:00,E,Ibrahim,CW-P-241B,OK,1427,0.973,19.0,83.9,64.9,59.7,1769,147.4,62.4,60.5,50.8,24,89,Corrected with calibration factor 0.973.
2026-06-18 20:00,E,Ng,CW-P-241B,OK,1430,0.973,18.2,84.3,66.1,59.4,1770,149.2,62.8,61.0,48.0,24,86,Corrected with calibration factor 0.973.
2026-06-18 21:00,E,Patel,CW-P-241B,OK,1412,0.973,18.4,84.7,66.3,59.5,1771,151.0,63.2,58.0,48.7,24,87,Corrected with calibration factor 0.973.
2026-06-18 22:00,E,Morgan,CW-P-241B,OK,1415,0.973,18.6,85.1,66.5,59.6,1772,152.8,63.6,58.5,49.4,24,88,Corrected with calibration factor 0.973.
2026-06-18 23:00,E,Ibrahim,CW-P-241B,OK,1418,0.973,18.8,85.5,66.7,59.7,1773,154.6,64.0,59.0,50.1,24,89,Corrected with calibration factor 0.973.
2026-06-19 00:00,N,Ng,CW-P-241,OK,1421,0.973,19.0,83.5,64.5,59.4,1768,142.0,64.4,59.5,50.8,24,86,Corrected with calibration factor 0.973. Operator entered tag CW-P-241 without suffix on paper log.
2026-06-19 01:00,N,Patel,CW-P-241B,OK,1424,0.973,18.2,83.9,65.7,59.5,1769,143.8,64.8,60.0,48.0,24,87,Corrected with calibration factor 0.973.
2026-06-19 02:00,N,Morgan,CW-P-241B,OK,1427,0.973,18.4,84.3,65.9,59.6,1770,145.6,65.2,60.5,48.7,24,88,Corrected with calibration factor 0.973.
2026-06-19 03:00,N,Ibrahim,CW-P-241B,OK,1430,0.973,18.6,84.7,66.1,59.7,1771,147.4,62.0,61.0,49.4,24,89,Corrected with calibration factor 0.973.
2026-06-19 04:00,N,Ng,CW-P-241B,OK,1412,0.973,18.8,85.1,66.3,59.4,1772,149.2,62.4,58.0,50.1,24,86,Corrected with calibration factor 0.973.
2026-06-19 05:00,N,Patel,CW-P-241B,OK,1415,0.973,19.0,85.5,66.5,59.5,1773,151.0,62.8,58.5,50.8,24,87,Corrected with calibration factor 0.973.
2026-06-19 06:00,N,Morgan,CW-P-241B,OK,1418,0.973,18.2,83.5,65.3,59.6,1768,152.8,63.2,59.0,48.0,24,88,Corrected with calibration factor 0.973.
2026-06-19 07:00,N,Ibrahim,CW-P-241B,OK,1421,0.973,18.4,83.9,65.5,59.7,1769,154.6,63.6,59.5,48.7,24,89,Corrected with calibration factor 0.973.
2026-06-19 08:00,D,Ng,CW-P-241B,OK,1424,0.973,18.6,84.3,65.7,59.4,1770,142.0,64.0,60.0,49.4,24,86,Corrected with calibration factor 0.973.
2026-06-19 09:00,D,Patel,CW-P-241B,OK,1427,0.973,18.8,84.7,65.9,59.5,1771,143.8,64.4,60.5,50.1,24,87,Corrected with calibration factor 0.973.
2026-06-19 10:00,D,Morgan,CW-P-241B,OK,1436,0.973,19.0,85.1,66.1,59.6,1772,145.6,64.8,61.0,50.8,24,88,Corrected with calibration factor 0.973.
2026-06-19 11:00,D,Ibrahim,CW-P-241B,OK,1418,0.973,18.2,85.5,67.3,59.7,1773,147.4,65.2,58.0,48.0,24,89,Corrected with calibration factor 0.973.
2026-06-19 12:00,D,Ng,CW-P-241B,OK,1415,0.973,18.4,83.5,65.1,59.4,1768,149.2,62.0,58.5,48.7,24,86,Corrected with calibration factor 0.973.
2026-06-19 13:00,D,Patel,CW-P-241B,OK,1418,0.973,18.6,83.9,65.3,59.5,1769,151.0,62.4,59.0,49.4,24,87,Corrected with calibration factor 0.973.
2026-06-19 14:00,D,Morgan,CW-P-241B,OK,1421,0.973,18.8,84.3,65.5,59.6,1770,152.8,62.8,59.5,50.1,24,88,Corrected with calibration factor 0.973.
2026-06-19 15:00,D,Ibrahim,CW-P-241B,OK,1424,0.973,19.0,84.7,65.7,59.7,1771,154.6,63.2,60.0,50.8,24,89,Corrected with calibration factor 0.973.
2026-06-19 16:00,E,Ng,CW-P-241B,OK,1427,0.973,18.2,85.1,66.9,59.4,1772,142.0,63.6,60.5,48.0,24,86,Corrected with calibration factor 0.973.
2026-06-19 17:00,E,Patel,CW-P-241B,OK,1430,0.973,18.4,85.5,67.1,59.5,1773,143.8,64.0,61.0,48.7,24,87,Corrected with calibration factor 0.973.
2026-06-19 18:00,E,Morgan,CW-P-241B,OK,1412,0.973,18.6,83.5,64.9,59.6,1768,145.6,64.4,58.0,49.4,24,88,Corrected with calibration factor 0.973.
2026-06-19 19:00,E,Ibrahim,CW-P-241B,OK,1415,0.973,18.8,83.9,65.1,59.7,1769,147.4,64.8,58.5,50.1,24,89,Corrected with calibration factor 0.973.
2026-06-19 20:00,E,Ng,CW-P-241B,OK,1418,0.973,19.0,84.3,65.3,59.4,1770,149.2,65.2,59.0,50.8,24,86,Corrected with calibration factor 0.973.
2026-06-19 21:00,E,Patel,CW-P-241B,OK,1421,0.973,18.2,84.7,66.5,59.5,1771,151.0,62.0,59.5,48.0,24,87,Corrected with calibration factor 0.973.
2026-06-19 22:00,E,Morgan,CW-P-241B,OK,1424,0.973,18.4,85.1,66.7,59.6,1772,152.8,62.4,60.0,48.7,24,88,Corrected with calibration factor 0.973.
2026-06-19 23:00,E,Ibrahim,CW-P-241B,OK,1427,0.973,18.6,85.5,66.9,59.7,1773,154.6,62.8,60.5,49.4,24,89,Corrected with calibration factor 0.973.
